,userid,shopid,itemid,rating,rating_star,comments
4613,6558298,4159855,34049834,1,5,Already receive in good quality...will deal to u again...thanks
4614,18376033,4159855,57271662,0,0,Original?
4622,9333144,4159855,44902488,1,5,good
4626,9979149,4159855,44879655,0,0,@dilauyob nk tnye d satu je ke wireless earphone tu bkn sepasang ke?
4630,7794437,4159855,33475336,-1,1,Very poor product quality
4633,6618040,4159855,38056931,0,0,there is x x
4645,7752646,4159855,30256502,0,0,Ade again x ....
4664,33997976,4159855,37799209,0,3,Product quality is ok
4666,1354831,4159855,37519562,1,5,"Fast shipping from china. The drone is good for beginner and in door flying. the speed is just nice , not to fast or to slow."
4697,5441819,4159855,96051758,0,2,Top is quite thin
4698,6849099,4159855,30261380,1,5,Just received by today 07.08.2016..a bit late..thanks seller for very responsive to chat.
4699,4491937,4159855,57272098,0,0,Ready stock ?
4719,8603027,4159855,33114147,0,0,I'm nder odder again for more amount but Why high shipping cost than before ... is too expensive ... ??
4720,7982063,4159855,33475415,0,0,There is more to
4740,6310900,4159855,36263648,1,5,"quality product
recommended seller"
4750,19667032,4159855,58727574,-1,1,The package does not working. Please be careful.
4754,12374662,4159855,34464096,0,0,Support paused 3
4765,7049578,4159855,34430100,0,3,Delivery time as expected Product quality is ok
4786,10237298,4159855,50236423,0,0,Need detail 4 in4mation how to buy 4 bank in?any akaun nmbr?have postage 2 srwk?
4787,12113030,4159855,42627542,0,0,Once dngn remote to?
4792,10365979,4159855,46156099,1,5,very nice wallet
4816,23876105,4159855,232320257,0,3,Product quality is ok
4821,6709261,4159855,33132024,0,0,For phone vivo y 15 and lead 6 there is no cover camtu?
4828,2264298,4159855,34049834,1,5,Looks good hope it works well
4829,2963474,4159855,30974427,0,0,Can support bluetooth?
4847,1608132,4159855,46156106,1,5,"If all card slots are to be filled in with solid cards, the coin pouch will be too tight to put your fingers in to get coins. And sure the wallet will get bulky. But it has provided two buttons which caters to the bulkiness. Other than that, no complaints so far."
4849,10826711,4159855,44882429,0,0,Cna used for ip7?
4856,6704774,4159855,60792512,0,0,camera?
4858,25539495,4159855,33437006,-1,1,Very poor product quality
4860,25192874,4159855,36014653,0,0,"hello sir,respon pls?if ready stock i pay"
4861,8326954,4159855,30064571,1,5,Same as above command.
4865,812818,4159855,33475434,0,3,"Receive it well...But the mp3 don't have charger...So, how i want to charge???"
4875,10736455,4159855,47517604,0,0,@mgtlee appropriate for rider x? camera he kt dpn tu kn?
4895,2972853,4159855,30047711,0,0,Is there?
4902,10553876,4159855,36014552,0,0,I want order this
4905,7370744,4159855,34049834,0,0,@ kclim90 tkde respond kn dri seller ?? I pn bermnt jga sebenr him
4913,5433578,4159855,232320257,-1,1,Very poor product quality
4921,5290088,4159855,30261380,0,0,dont buy
4930,6883324,4159855,46160902,0,0,Ready stok or preorder. Please whatsapp me 0142910557.
4932,4161139,4159855,30982870,0,0,"@shachaa sorry,will ship in random"
4936,5953312,4159855,46156099,0,0,how to buy
4938,7149275,4159855,29733917,1,5,5 days early delivered from e.t.a delivery time :)
4941,17606443,4159855,33437006,0,0,The girdle of the bugs
4942,16564933,4159855,36014569,0,0,Hi
4948,5430699,4159855,30026056,-1,1,one out of three sent did not work...
4955,7964787,4159855,46537709,1,5,The quality is alright. You get what you paid for.
4960,31870631,4159855,42626477,0,0,* Of
4962,9117374,4159855,31291550,1,5,Excellent service by seller
4965,11276851,4159855,33114187,0,0,power motor xsama as it should.
4966,11027221,4159855,44233329,0,0,Can I noe how many days can reach if I order today. To Sarikei
4980,6615454,4159855,30050199,0,2,Didnt receive it at all and i not yet claim to refund that button already gone...
5005,7875112,4159855,29733732,0,0,@publicstranger @azirahhalim thanks a bunch 4 the info.
5030,11065922,4159855,33131995,0,0,Where to buy the filter..?
5061,7233171,4159855,30969138,0,0,@ zamzam2015 ni oversea kan ?? brape lama delivery sampai yer ??? ☺️
5064,7920601,4159855,74677811,1,5,Good product nice packing.. if got free shipping will buy again with you.. thank you
5066,7906427,4159855,46156108,0,0,There are more stocks to ..
5070,4809247,4159855,44879655,0,0,The price is set up ehh
5084,23353195,4159855,43449796,0,0,Want to buy lh ....
5094,10421955,4159855,33132085,0,0,@makmek m
5099,13164977,4159855,46156099,0,3,Service by seller is ok
5118,13063588,4159855,63008927,0,0,postage to sarawak brpa?
5125,9250438,4159855,30261562,0,3,Received within 13 days..Lure so small. Like micro
5126,4731515,4159855,35699073,1,4,Goods until well
5130,11964078,4159855,33475495,0,0,Ready stock?
5133,4488095,4159855,58723042,0,0,Is it in stock
5138,18042321,4159855,228789991,0,3,"Shorter than expected... 
It's about half time shorter than the normal length"
5139,11073196,4159855,90402637,0,0,Blue color is not
5157,1608132,4159855,30974420,1,5,No complaints so far
5160,4605365,4159855,33132005,1,5,"Finally, parcel received. According to owner says, it will be arriving 3 to 6 days. Although end up it's took 11 days, but still satisfied. As long as items well received. Thanks :) "
5185,9720758,4159855,34049834,0,3,"start okay, last on and record in half an hour, the screen jd blur and blur it. when it comes back to the record pn so it's mcm. can be a jot of jealousy. but yela ape je nak expect dgn harga murah. btw, thank you for selling me this."
5189,4113617,4159855,127314797,0,3,Great product but the button for shutter lose. Trouble when want to on/off my phone
5192,6319832,4159855,46059875,0,0,"response please. mcm mna sy nak oder, if tk response."
5199,11724737,4159855,30996060,0,0,Hello ?? Still got a stock
5200,22688370,4159855,33437006,0,3,Product quality is ok
5213,918143,4159855,35312660,1,5,Very fast.high quality and high recommended 
5215,8003608,4159855,33770425,1,5,"Gd product.fast delivery,recommended seller.5star!!"
5236,16472765,4159855,80358439,0,3,No box n got scratch...
5242,509253,4159855,30025748,0,3,Could not fit in my power socket
5250,1943176,4159855,44902488,0,0,Fit on perodua viva?
5252,7349534,4159855,31291550,0,0,Rm8.50 for a set to?
5261,8037228,4159855,43449796,0,0,7000 model is there?
5282,8774765,4159855,127314801,0,0,Samsung Galaxy Note 2 N7100 available?
5302,735432,4159855,33437004,0,0,@pearlwhite okay kejap ya
5318,18238508,4159855,51741091,1,5,"Excellent service by seller, fast delivery..recommended "
5319,21534257,4159855,46156099,-1,1,Very poor service by seller
5327,4280939,4159855,34463963,0,0,is this still available?
5333,6165959,4159855,29727429,0,0,How to buy
5335,6418117,4159855,31291503,1,5,tqvm
5366,20559079,4159855,34658446,1,5,Excellent service by seller
5369,1195160,4159855,34464061,0,0,Hi @stephie8018 @simonoj have u used it?
5372,27028371,4159855,30064027,0,0,Price ready post in Malaysia to?
5377,8590345,4159855,77992534,1,5,Will trade again.very good customer service.
5382,9050535,4159855,34049834,0,0,@nurain.sharip how about the condition? Is it functioning?
5389,7790434,4159855,33475415,0,0,Pm
5401,8964069,4159855,67431924,0,0,No ready stock? All overseas postage?
5417,8610616,4159855,30264546,0,0,There is a stock of lg ka
5420,5154914,4159855,44934273,0,0,Is it in stock?
5435,2554476,4159855,37519488,1,5,"Received, TQVM! "
5437,8541840,4159855,34049834,1,5,Thx
5448,7233171,4159855,41771603,0,0,Boley connect dgn laptop so?
5449,7643248,4159855,34464096,0,0,Phone
5454,3707294,4159855,30063759,0,0,"Yes, I only use it for a week and the right button spoil"
5455,6367590,4159855,33132085,0,0,Iphone 5 model is it suitable or not?
5458,8351334,4159855,33770418,0,0,Ade lg x??
5469,13386168,4159855,34430095,-1,1,I received the product in bad condition.(like used)
5471,10872731,4159855,63008915,0,0,Ready stok
5479,4734534,4159855,35312585,0,0,Wearable for hatching eggs by boss?
5482,11777905,4159855,29733296,0,2,"The lamp is work perfectly, but the ultrasonic sound didnt work at all, thus it not working as a dog repeller but only as a torch light...need to refund the item if possible...."
5484,8212184,4159855,36014517,1,5,Good quality
5495,7896865,4159855,46534816,0,2,"Look great, but small. Okay"
5506,15207170,4159855,58723194,0,0,Using plug or battery?
5519,8633676,4159855,46161964,0,0,???????
5521,19271393,4159855,31291511,0,3,Product quality is ok
5523,6386871,4159855,30065929,1,5,Love it
5532,7679992,4159855,54673761,1,5,Bad .. i didnt get my things yet..
5535,2560063,4159855,46059763,1,5,Better than expected ... not bad
5536,9750080,4159855,30064309,0,0,Ad number fon x??.. Blh whatsap sy x..0173063624
5542,2351428,4159855,30229593,1,5,"product is slight different, there's actually ""MAC"" on it. still love it tho (:"
5545,7085034,4159855,33475352,0,0,Do the stock still available
5548,7006345,4159855,34463963,0,0,@queen43 can i buy from u for m size
5550,7790695,4159855,46061370,1,5,Good price
5552,9203345,4159855,47115882,1,5,trust seller..tq
5562,28126423,4159855,63008158,0,0,Boss still stock to
5622,9929647,4159855,96565941,0,2,Poor product quality
5635,4299459,4159855,30268547,0,0,Bro this one
5643,9668821,4159855,29733726,0,0,Pm 0174150169
5647,25591328,4159855,58727144,0,0,May i know is there any microphone for this earphone?
5652,8103486,4159855,30025748,0,2,Looks can't kill mosquito ..
5653,7093306,4159855,34430100,-1,1,"It's broken. Even after charging, and interested sd card, the mp3 still cannot play anything and the led lamp always blinking."
5656,13654899,4159855,29733739,1,5,Product quality is ok Delivery time as expected
5669,26419441,4159855,37799209,0,3,"Update. Turns out the battery life isn't even in the advertised range. Only 1 hour and a wee bit more for continuous usage. Luckily charging only takes up around 40 mins. If you're picky with sounds, never buy this. Everything is mediocre. Just enough to listen to music considering the price tag."
5673,8282606,4159855,46059763,0,0,"If I buy 3 pieces, how much of postage?"
5677,4181792,4159855,32062154,0,3,Colour different from photo but still is cheap 
5696,7396931,4159855,34049834,0,0,I've got a tank up to rm180 ...
5713,4962893,4159855,29733726,0,3,Quality is Ok
5714,6858369,4159855,30996060,0,0,"hye, still got a stock?"
5724,4994644,4159855,41650445,1,5,"Excellent packing n the fist seems to work well, hopefully it'll last long. Will keep products updated :)"
5734,19891500,4159855,63008212,1,5,Good to be true....
5743,5681860,4159855,36014559,1,5,Very strong vibration n cute. 
5756,4161139,4159855,30974427,0,0,"@yuszrina
sorry,could you please speak English or Chinese?any question,pls contract us by chatting"
5773,10729744,4159855,29733727,0,0,@syafiqahhussin yes ..
5775,6822856,4159855,33475415,1,5,nice items and nice service
5793,1547132,4159855,30015776,1,5,Good service. Thanks :)
5797,27832937,4159855,258266393,-1,1,Very poor product quality Delivery time below expectation Very poor service by seller
5815,18688658,4159855,33475447,-1,1,Delivery time below expectation
5816,5592804,4159855,37519544,0,0,for phone can ???
5837,8327323,4159855,31291524,0,0,hello i want to order .. there is no stock ..
5847,8422034,4159855,35394467,1,5,she is
5850,2808960,4159855,35700944,0,0,You want to buy it.
5851,4184097,4159855,77993414,0,0,Can it compatible with my samsung note 4?
5857,8056817,4159855,30260509,0,0,Length this product??
5864,29205044,4159855,30050199,0,2,Tempered glass broke ..parcel did not pack safely
5876,5378288,4159855,58727574,0,0,This is brand from baofeng or what ?
5880,22404945,4159855,114409102,1,5,Excellent service by seller. Products shipped out fr China and received in good condition. Seller is also helpful in answering questions (take some time to reply but  thats ok).
5881,13403114,4159855,47121694,0,0,take photo Clear or no？
5882,4706614,4159855,30048500,0,3,Slow delivery
5892,6529365,4159855,33770485,1,5,Received in good condition. Functioning just fine. TQ!!
5908,31734006,4159855,30012169,1,4,Delivery time as expected
5909,11669038,4159855,49697532,0,0,Ada lg? Nak or
