,shopid,itemid,rating_star,cmt
4856,4149345,13433787,4,Item came in good condition. Acrylic is hard and sturdy. 
4859,4149345,14479774,1,"There was minimal bubble wrap provided by the seller and so because of that, the makeup display was already broken when it came of me. A part of it chipped off. The material wasn't good to begin with, like it's actually quite thin! There should have been more bubble wrap.  "
4861,4149345,237463508,0,@lynnramos_27 you are welcome 
4863,4937640,26495147,1,Haven't received yet. seller said that is separate delivery.
4867,4149345,16431852,4,Decent quality and long delivery time. However it is a bargain price
4868,4937640,40486692,0,Why are all the packets I ordered come in liquid form?!
4869,4937640,19357676,5,soft brush. cute . thanks seller
4870,4149345,15720158,0,Hi I tried installing the USB adapter and it does not work on my PC. There is no drivers and it's cant instal when I plug in. Pls help
4871,4149345,46575065,3,Quality of external bottle is fine. Just that it's quite difficult to press it down to spray and the mist doesn't spray well enough.
4872,4937640,19376409,5,cute 
4875,4937640,22564159,5,Great seller provide great sev. Tqvm
4876,4149345,16432601,5,haven't try 
4882,4937640,18980941,5,Thx seller
4884,4937640,19379045,5,small. not so rough. Perfer brush egg.  Thanks seller
4886,4937640,51424427,1,Haven't received yet. seller said that is separate delivery.
4889,4937640,112156160,1,Doesn't work. Spoiled!
4890,4149345,14479774,5, Excellent service by seller Excellent service by seller
4893,4149345,15251430,5, Excellent service by seller
4894,4149345,13427422,5,Highly reccomend!! 
4899,4937640,24088098,5,"Hair chalks came, excited to try them out"
4902,4937640,115574611,1,Haven't received yet. seller said that is separate delivery.
4903,4149345,14476821,4,"The green and purple creams is a bit dirty on the surface, but considering that it's cheap, it's expected i guess. Colours are pretty blendable though, which is a plus. Thanks!"
4905,4937640,17704694,5,The lip gloss is nice! They don't budge and dries to Matt quickly!
4907,4149345,15737299,5,This cleans my brushes so throughly!! 
4912,4149345,16430598,5, Excellent service by seller
4914,4149345,13433484,5,Delivery was slow but seller updated me
4917,4937640,17702243,3, Product quality is ok Delivery time as expected. Some eyeshadow colours cracked though
4919,4149345,16742382,5,The quality is not bad considering its price 
4920,4937640,103791202,1,Bad item !! Seller is very unprofessional! Send a item that have scratches on it and can't use it for more then 10 seconds. Don't buy from this seller to avoid disappointment !!!!!!! See photo! I have request for refund however seller insist that I need to show video proof. I have send photo of it! 
4923,4937640,24095270,0,"@superbot Thank you,welcome shopping here again~"
4924,4149345,15737084,5,"Poured coke into my glass, forgot it's in the shape of a skeleton... Gave me a huge fright. Love the glass, just don't pour coke at night"
4925,4149345,13431842,1,Bad. Defective charging cable. Cannot charge earpiece. Disappointed. Bad luck . 😁👎
4926,4937640,36621555,1,If I could give zero stars I would. The product came squashed and the brushes had hair falling out and coming out from the sides. The quality is SHIT. Even worst than the cheap brushes in SASA - doubt this set will last one use. The delivery service was also HORRIBLE. Be careful when ordering. 
4929,4149345,57201880,2,"Update!  The stand is very hard to adjust and I couldn't make it stand... 

Bluetooth thing does work!! Stand however does seem as sturdy. But it's overall good! "
4930,4149345,15737299,5,Wash my brush really well 
4931,4149345,57906487,5, Excellent service by seller
4932,4149345,15736981,5,Working and in order
4933,4937640,21273305,5, Excellent service by seller
4934,4149345,13432519,5,Normal
4935,4149345,17707649,5,Working and in order
4937,4149345,95360703,5," Excellent service by seller, items recieved in good order and on time. 👍👍"
4938,4937640,19379090,0,Do u do meetup?
4945,4937640,18985499,4,Delivery was really fast.
4951,4149345,14485703,5, Excellent Value
4956,4937640,17705773,5,Not bad ~ glides on pretty well. Haven't test how long lasting it is
4957,4149345,14482397,5, Excellent service by seller
4958,4149345,15247443,5, Product quality is ok Delivery time as expected Excellent service by seller. Item gd jus that there o crack at the back ofbthe palette. Bt it ok
4959,4937640,19347989,5,Received my goods in good condition. Seller is very patient with all my questions. Highly recommend. 
4961,4937640,46524219,1, Very poor product quality. Doesn't have any burning sensation but managed to sting my fingers open cuticle. Waste of money 
4963,4149345,71921868,5,Product quality ok . 
4965,4937640,19348151,5,Received my goods in good condition. Seller is very patient with all my questions. Highly recommend.
4967,4149345,206469974,5,Delivery is swift with no hiccups.  i haven't try using the product 
4968,4149345,15247459,5,"Fuss free buying processes, good service provided by courier and product is of excellent quality. Overall very satisfied."
4969,4149345,57202392,0,"@ivyorevillo24 dear， the pirce is 10.4 , the postage is depend on the weight and your address, you can put items into the shopping cart ,and the system will count automatically"
4971,4937640,18945556,0,Its more to glosss but still gotta love it though!
4972,4149345,13426634,4, Good value
4973,4937640,18982022,5,"Tip was slightly chipped off when it arrived due to the sharpener and delivery. It's written as lip pencil and eye liner, but seller was right to put this as an eyebrow pencil as it's smudgy. "
4976,4937640,96340435,5,"When I opened up, I saw one of my two purchase in such a state. I strongly believe that this was not damage while in the process of delivery"
4977,4149345,19335053,5,Good buy! 
4978,4149345,380330549,4, Good value
4979,4937640,22564307,3,"Brush is not fully packed , hence , its a lil flimsy. "
4980,4149345,71921823,1, Very poor product quality
4981,4149345,71921868,3," Delivery time as expected.    Product quality is ok, material is quite thin"
4982,4937640,18982022,5,Very pigmented and smooth
4984,4149345,13431086,3,The base is not so good
4985,4937640,18980941,5,Super cute and nice! It was a doorstep delivery!! 🙆🏻🙆🏻🙆🏻🙆🏻❤️
4987,4937640,18984937,5,Dries moderately fast. Doesn't smudge. Good and cute. 
4988,4937640,18945556,2,Not very pigmented. Looks more like a gloss when put on lips
4990,4149345,15720360,5,All the piping tips arrived in perfect condition (: Thanks! 
4991,4149345,13424260,5,Working fine but sound is bit lower than cable connection..
4998,4149345,16750888,5,Good build quality. Nicely packaged 
5001,4149345,15719000,5,"Items not received, seller did a refund instead."
5002,4937640,18985550,5, Excellent service by seller
5004,4149345,71921841,0,"@hellocris dear , it is 4.8 , it is ready stock now , you can place a order now , we will ship out soon "
5006,4937640,26495649,4,"one of the item has a crack but overall good product, fast delivery"
5011,4149345,15720656,5,Good
5012,4937640,18985848,4,"Out of 20, quite a number got 'defects' which I feel may be weird when worn. "
5014,4149345,16430420,5,"Items not received, seller did a refund instead."
5015,4149345,229595480,4,"Product quality is as expected for the price. Expect shipping to take a while as well, took 18 days for mine to arrive. Otherwise, if you're not too bothered about build quality and you're patient enough to wait, this is a fun thing to have for the price. "
5017,4937640,44160990,5,Smell nice and worth the price! bought 4! but 1 broke so badly =( but i still love it! ♡♡♡
5018,4149345,58349414,0,Hello. Please cancelkan pool babh yah
5020,4937640,16812206,0,@aliff89 $0.7 for one pcs 
5021,4937640,17705522,3," Product quality is ok, but colour differs from pic shown."
5023,4937640,18985906,4,The end doesn't match up when closed. But still can grip stuff. 
5025,4937640,18984825,3,"The liquid liner is not very black but works I guess.When wet,the liquid liner comes off easily with gentle rubbing. The pencil liner is more greyish than black,smudges easily but applies on easily."
5028,4937640,26495219,5,"Good quality, very nice resealable pouch to carry"
5029,4149345,60228441,5, Excellent Value
5030,4149345,13426634,5,Faster than I expected 👍👍👍
5031,4937640,17701309,5,Good
5032,4149345,16427399,5,Very good remote. Will buy again
5034,4937640,19356666,5,"Brush is soft, but the hair drops out quite easily "
5036,4937640,19347989,5,"good brush, soft "
5037,4937640,18985848,5,Nice. Thin and flexible band!
5038,4149345,13432519,5,Prompt Delivery and Working fine
5039,4937640,44160990,5,Thank you seller!!! all my products was packed well and really nice! the products are all WORTH the price!!!! i love it !
5040,4937640,18983118,3, Delivery time as expected
5041,4937640,18985972,4,"Out of 20, quite a number got 'defects' which I feel may be weird when worn. "
5043,4149345,17709350,1,Faulty . Seller refunded
5045,4149345,16430598,0,@daphenelxj 
5049,4149345,14479774,5,Awesome!!
5050,4149345,49790575,1,Very poor product quality  Didn't expect it to be like mesh material. I was expecting cotton blend as stated in the description. 
5051,4149345,14482239,2,Boxes were stained with blank ink
5053,4937640,18986068,1,The one I got had no nozzle opening. So basically you can't use the glue unless you grab a scissors/pen-knife maybe?
5055,4149345,13433823,0,So kindly rep
5057,4937640,18984937,5,Product received but package could have been better handled (had dents)
5060,4149345,26966525,2,Recieved the item with the packaging already opened :c
5064,4937640,44160990,5,Thank yoi so much!!! i love the products and they are all well packed! Worth the price!
5066,4937640,22564307,3," Product quality is ok, but smell of brush is too strong."
5070,4149345,13432745,4,"1 sensor function, 1 spoilt"
5072,4937640,85958267,5,FAST DELIVERY! And item is of good quality!!! worth the buy! thank you so much!
5074,4149345,46508845,1,Seller send the wrong model. However seller quite apologetic 
5077,4937640,18980338,1,Have yet to receive till date
5080,4149345,13432637,5,Love love love it. Thanks!:) 
5081,4149345,60226150,4,The brush is abit hard but still comb throughly
5086,4937640,18984937,5,2nd time ordering. Happy!
5088,4937640,19347989,1,Have yet to receive till date
5091,4937640,24095331,1,Have yet to receive till date
5092,4937640,40486735,3," Product quality is ok, hard to refill."
5097,4937640,94479179,5,FAST DELIVERY! And item is of good quality!!! worth the buy! thank you so much!
5100,4937640,22563853,0,@lindalim88 dear is right 
5102,4937640,19378368,5,finally! I can dry my brushes properly. shipment took a while but understandable because it comes from aboard. thanks!
5107,4937640,16810088,5,"delivery was faster than I thought it would be, item came in good packaging and in new good condition, very worth it!!! "
5110,4937640,40486732,2," Poor product quality, product came in broken condition "
5114,4149345,83799730,4,Not back
5115,4937640,26495244,1,Have yet to receive till date
5116,4937640,119025745,5,Thank you so much!!! i love the products and they are all well packed! Worth the price! ♡♡♡
5117,4149345,234535786,4,"Thread a little frayed at the ends, but for the price I think it's ok.  "
5121,4149345,49770736,0,"@yantizz54 dear , It normally takes 5-10 days to arrive your address , but sometimes maybe a little delay because of the problem of the weather , the Customs or your address , you can contact with me in chats when you have not received your order for a long time , we will glad to help you , thanks and have a nice day :) "
5122,4937640,18983802,1, Very poor service by seller
5123,4937640,51424427,0,@94sandy. thanks for your  comments 
5127,4937640,94479179,5,Cuteeeeeee! Yet to use!
5129,4937640,265637027,5,Thank you so much!!! i love the products and they are all well packed! Worth the price! i have yet to try it because battery is needed in order to on it!!! 
5130,4149345,14482801,1,"Scale can't read out ,not working at all always display zero."
5131,4937640,18983888,4,Have not tried out product...hope I wl like it
5132,4937640,22563853,0,Hi dear buyers! Does this fit oral b advanced power?
5133,4937640,100428149,5,"Bought again for friends. 
Excellent service by seller, replied promptly to my Enquiry. Will purchase again. "
5134,4937640,323892755,5,Thank you so much!!! i love the products and they are all well packed! Worth the price!!! 
5140,4937640,24088111,1, Very poor delivery speed 
5144,4149345,13431149,5,Good service came before the deadline was happy abt the product hope to buy from u again
5153,4937640,26495075,1," Very poor product quality,don't expected much for items so cheap but seriously looked used:/"
5154,4149345,19339392,4,Not sure waterproof 
5155,4149345,319400931,5,"Really cleans your walls and dishes well, can use for all purpose for cleaning , Excellent value"
5156,4937640,18982883,0,@alimna
5157,4149345,54767649,0,may u watshapp me .my number.+6581220042
5158,4149345,17708690,5,item received
5161,4937640,46524199,1," Very poor product quality,this is a oem product"
5164,4149345,17709146,0,Can this remove tissue paper?
5165,4149345,66185065,0,how do i choose the colour for this?
5168,4149345,112580217,2,Ordered on 25 Feb and received on 7 Mar. Brushes are of so-so quality. One of the brushes has glue on the sponge end so not able to use it on the camera lens. 
5169,4937640,46523851,5,Haven't tried the products yet. but fast delivery thanks!
5171,4937640,18983592,3,"Not longlasting at all . 2 stars only, Barely waterproof, tip is too sharp to draw on eye lids. "
5175,4149345,66180108,4,One of the eyeshadow came out. Overall OK.. The item came early. Thanks 
5178,4937640,160382810,1,"I can't keep up with the price change,this mask doesn't come with a plastic mask bag is just a thin mask and you have to put your own sock to prevent leakage"
5179,4937640,17705773,5,"#shopeehaul

Item were paxked nicely and delivery on time. really love the item and it was smooth to apply on. colour are reaaaally pretty. thank you seller. "
5181,4149345,15247463,5, Excellent service by seller
5187,4937640,318190129,1,Fake product the colour didn't even lift from the palette 
5188,4149345,15736347,5,Colours will be random so take note. Other than that it is in working condition.
5189,4149345,15719279,3," Product quality is ok, comes with box, soft silicon but not so easy to put in the ear"
5194,4149345,16740081,3,It's bend into half to be fitted for shipping. 
5195,4937640,100428149,4,"Fast drying, almost transparent at room temperature but changes colour when cold. Very fun! Only thing is that it peels off a tad too easily. =) Will buy more to play tho! 😂"
5200,4937640,96340676,5,"Good and sturdy, can take out brushes without holding it down "
5204,4149345,13433787,5,"Shopping took long, but product was as described. Came nicely wrapped to protect product. Ty!"
5205,4937640,127478668,2,Mirror not very focused. Magnifies but unclear.
5208,4937640,199487905,2,Item received was way smaller than what was described. 
5210,4149345,237463508,5,Ask for pink but get white 😞
5211,4937640,26495244,5,Seller was very responsive regarding the shipping of the item although it's a waste that i didn't receive it :(
5218,4149345,17708500,3,Received well wrapped. The connection metal piece is a little too long but still works.
5219,4937640,19376409,2,Delivery too slow. Took abt 3 - 4 weeks to reach
5220,4149345,16742475,5,"Item arrived promptly and well packed, good condition."
5222,4149345,42089916,5,"Finally received the product , not try yet ...."
5223,4149345,13432637,5,"Items comes as in pic highly recommend, 👍👍👍👍👍"
5224,4937640,18982883,3, Delivery time as expected
5225,4937640,19347989,4,The brush hairs comes out and it's not as soft as expected 
5228,4149345,29999547,5, Good value for money
5231,4937640,85958223,5,order received earlier than expected and in good condition. thank you for the efficient service! 
5232,4937640,112156353,5,"bag was slightly smaller than i expected it to be. nevertheless, the order was received earlier than expected and in good condition. thank you for the efficient service!"
5235,4937640,24095270,4,Product was received with a small dent on the cap but other then that everything is okay 
5236,4937640,24088090,1,I still have not received the product Very poor delivery speed
5237,4937640,18985848,5,fast delivery n good quality!! && seller is super nice!
5239,4937640,40486855,2, Poor delivery speed Poor delivery speed
5244,4149345,16441473,3,2 packs missing 
5246,4149345,16750088,5,Received quickly 
5249,4149345,13432519,5,"Although my speakers wouldnt work, the followup was excellent and they had very good service. Hope to get my refund soon"
5254,4149345,57201880,3,The tripod leg is a bit filmsy and does not support my phone firmly. It works tho
5255,4937640,98141224,2, Poor delivery speed
5259,4149345,19335650,5,"Receive item in good condition, worth to wait about two weeks time, affordable price. Everything is good, see picture.. "
5261,4149345,13432637,0,@notinuse May i knw what happened?
5262,4149345,13433484,5,Thx
5263,4937640,19356482,5, Excellent service by seller and responds very quickly to my enquiries. thank u so much!!!!!
5266,4937640,48325145,5,received
5271,4149345,15250953,5,Item well-recd w thanks :)
5274,4149345,14477372,5,Received the item in good condition. Havent get to try yet. 
5275,4937640,100429280,3, Product quality is ok
5277,4937640,103794255,5,received
5281,4149345,46508797,0,What is the length and diameter?
5284,4937640,206978801,5,2nd purchased 
5285,4149345,86742981,5,bought for a friend. he received it today & is very happy. thanx!
5289,4149345,238817843,1,7 of the colours had already broken up and it was messy when i opened the parcel. 
5290,4149345,15736397,5,Goods received.... Haven try hope it work 
5293,4149345,13432519,4,Delivery was pretty quick. Product is good. 
5295,4149345,14485272,5,received in good condition!! loving it! 
5296,4149345,16430948,5,Its smaller than i expected but quite cute. Delivery q fast. Seller willing to reply to queries!(:
5301,4937640,40486732,4,Spaces are a little smaller than expected. Fits most of my lipsticks but not my 3ce lipsticks
5304,4149345,15720360,5,received in good condition!! loving it! 
5306,4149345,13432519,3, Product quality is ok Delivery time as expected
5307,4149345,16427026,0,What is the micro usb for?
5308,4149345,51268945,3,Good Delivery Speed
5311,4937640,18981410,1, Very poor delivery speed.
5312,4149345,103432766,0,"@byxnx  if you have any problem, plz contact with me in chats , we will give the another tracking number to you and talk to your tarcking information"
5313,4937640,18984937,4,Smells bad but still works ok. 
5314,4937640,35923944,1, Very poor delivery speed
5315,4937640,72487043,5,Better than I expected 😍😍😍😍😍😍😍.
5316,4937640,40486732,5, Excellent service by seller
5317,4937640,155675738,3, Poor delivery speed
5319,4149345,29994915,4,"Finishing not good, some scratches as well. But at least it won't leak"
5321,4149345,13431842,5,Great item...
5323,4149345,16429253,1,"Seller said will refund the amount back to me,  but instead I didn't get and refund at all?  Very poor product quality Very poor delivery speed"
5324,4937640,206979487,5,Not bad. Worth the price 
5325,4937640,18985848,2,Bought eyelashes at different price but was delivered the same product. Seller claims that items are from different suppliers. But it doesn't make sense for a shop to sell two identical item at diff prices. Sadly the eyelashes were of lousy quality as well.  
5326,4149345,15247463,5,These mesh covers are excellent to keep makeup brushes in shape.  
5328,4937640,171319643,3, Product quality is ok
5330,4937640,106658474,2," Poor delivery speed,  Product quality is ok."
5331,4937640,85958267,1, Very poor delivery speed
5332,4149345,46508803,5,Thanks... 😄
5333,4937640,51424629,5,Have not tried it yet
5335,4937640,18985972,2,Bought eyelashes at different price but was delivered the same product. Seller claims that items are from different suppliers but it doesn't make sense for a shop to sell identical items at different prices. Sadly the eyelashes are of lousy quality as well.
5337,4149345,42462759,5,Good.
5339,4149345,15251265,5,I'm pleasantly surprised how simple & effective this tool is. Big difference without using it. Gets dirt out quickly w mild soap or shampoo. Thumbs up 👍
5341,4937640,98141193,1, Very poor delivery speed
5342,4149345,14486824,3, Product quality is ok Delivery time as expected
5343,4149345,54768158,0,can play music how long?
5345,4937640,18986068,1," Very poor product quality. It's like super glue, thin liquid and becomes extremely sticky and hard-ish. Regretted buying so many. I wouldn't give any star if I could. "
5346,4149345,13426634,5,Items received in mint condition. Tq seller for the efficient and reliable service. 👍👍
5347,4937640,24088127,5, Excellent service by seller
5348,4937640,100430461,5,Have not tried it yet
5353,4937640,24095331,5, Excellent service by seller
5354,4937640,18986250,5,Product appearance doesn't look promising but it really works. Very happy with the product. 
5355,4937640,104304937,2,"The colours in the palette were not true to the product, as seen in the pictures that others had reviewed, the palette that I received is definitely not a bronze palette but a more rosey and red palette. Giving it 2 stars as most of the shades are quite creamy and pigmented, a few are chalky and dry"
5359,4149345,42089916,4,Yet to test the item
5360,4937640,19378141,5,Haven't used it but looks ok. 
5362,4937640,40486852,5, Excellent service by seller
5363,4149345,34399378,5,great dealer
5364,4149345,14483736,5,Received in good working condition. Buying another one for my friend. Tks!
5367,4149345,14481479,5,Received ystday. Had yet to try. The colour is grey n see 2nd pic the magic sponge is cut to this size. Hope it work well in cleaning. Price is cheap for 100pcs. 
5369,4937640,26495797,5," Excellent Item Quality, only wording not accurate!!😀"
5370,4149345,16431852,5, Excellent Value Excellent Item Quality
5372,4937640,18984937,5,"Eyeliner is quick drying, dries with a shiny finish and of course, the packaging was soooo cute! 

Honestly had low expectations after reading some bad reviews but i have nothing to complain about. Took maybe 3 or 4 working days to deliver? Delivery guy called me when nobody answered the doorbell."
5374,4149345,237463845,5, Excellent service by seller
5376,4937640,21273305,5,Haven't tried it but soft and not bad. 
5377,4149345,15247463,5,Received ystday. Yet to use it. 
5379,4937640,18985848,5,Honestly had low expectations after reading bad reviews but i have nothing to complain about. Took maybe 3 or 4 working days to deliver? Delivery guy called me when nobody answered the doorbell. Box was a bit smashed but it was packed with protective padding so they tried. Still in good condition. 
5381,4937640,127478636,5,"Tried on it, very good! No smell, and it really works well"
5383,4937640,16812173,1,"Bad quality, smell horrible. "
5389,4937640,21273368,5,"Soft and nice to use. But gets sticky after use, even after washing and drying. And it's starting to slowly have small tears. But for the price, still a reasonable buy. "
5393,4937640,26495672,5,SUPER LOVE IT. 10 times cheaper here than retail
5394,4937640,35923923,5,Haven't tried but decent buy. 
5395,4937640,369621620,3, Product quality is ok
5398,4149345,24119077,5,Received item earlier than expecting date. Great buy
5400,4149345,15736397,3, Product quality is ok. The screen is filled with scratches tho!
5401,4149345,14480472,5,order received in good condition. 
5402,4937640,18981088,5,Excellent service by seller
5403,4149345,14480472,5,Great and fast delivery
5407,4937640,18984937,4,"Great product but due to it being waterproof, it actually does not have much staying power and drops off easily. Cannot draw over the same line again and again as well because after it dries, drawing over another layer will remove the previous line."
5413,4149345,42089916,5,"Shipping was fast to Singapore, package a little crumpled but it's okay. Item tested and working well as advertised! Thanks a lot!  Excellent service by seller."
5416,4149345,26966420,1,Inaccurate listing as this set does not come with the Torx T5 screw head! Don't buy!!
5418,4149345,55877000,5,"Shipping fee is so worth it bc it came on time & you can track your parcel's process!! product came with protection & was well prepared,, im so pleased w the service too :-)"
5420,4149345,238809448,5, Excellent service by seller
5426,4149345,14481902,0,"I felt that it didn't expand much, doesn't eat up much foundation either."
5430,4937640,18981088,5,Item wrapped nicely and in good condition. Very satisfied and item also arrived very fast:)
5431,4149345,13431702,2,"Ordered and paid on 11/6, shipped on 14/6, received on 23/6. Think this clip cannot support my iPhone 6 plus weight, extended it but keeps dropping... Sorry for very late rating..."
5432,4149345,26966797,0,Iam asking about the stitches .  Its stitches are strong in fabrics or loses
5433,4937640,104772116,1," Very poor product quality
 Very poor service by seller
Tubes are leaking.. Seller refused to refund."
5435,4149345,46508845,5,Well received 
5437,4937640,245711303,1,"Very poor service by seller - sent the wrong item, then insisted it was the right item (and blamed the color difference on my phototaking), until I took more pictures as indisputable proof. Even so, seller did not approve my refund request and let the deadline lapse, then asked me for a good rating."
5440,4149345,19339392,0,Low quality that it not work even 30cents
5442,4937640,19347989,5,Item wrapped nicely and in good condition. Very satisfied and item also arrived very fast:)
5445,4937640,22563846,5,Item wrapped nicely and in good condition. Very satisfied and item also arrived very fast:)
5447,4149345,16752392,5,"Fast & prompt delivery by seller; have yet to try out the arm band yet, but it looks great! "
5449,4937640,18979819,1,They give me wrong colour 
5450,4149345,51485278,0,Please check for me thank you
5453,4149345,15719640,3," Product quality is ok, label on the buttons are worn off. No user manual as well. But at this price how to complain."
5454,4937640,22563885,5,Item wrapped nicely and in good condition. Very satisfied and item also arrived very fast:)
5456,4149345,42089916,1,Item received and is spoil. Could not on
5457,4149345,60226279,4,Looks smaller and less sturdy than I had expected but yet to try so I'm unable to comment on its effectiveness 
5462,4937640,24095270,1,Bottle tends to leak 
5463,4149345,15250953,3, Product quality is ok
5465,4937640,26495228,5,Item wrapped nicely and in good condition. Very satisfied and item also arrived very fast:)
5466,4149345,26966772,3,Delivery is abit Long. Items seem to be in good condition. Yet to try it out yet.
5467,4937640,26495649,5,Item wrapped nicely and in good condition. Very satisfied and item also arrived very fast:)
5468,4937640,26495102,4,"Really really mini, but received in good condition"
5470,4149345,16751502,5,Package came quick!
5471,4149345,16430420,5,Very kind seller. Refunded me when I picked the wrong shipment
5476,4149345,13426911,5,fast delivery:) 
5477,4149345,57849671,3,product is huge. not what i expected. seller should put better description for both product and delivery charges.
5478,4937640,18986433,5,my holy grail mascara TBH!! 
5485,4937640,210159796,0,Slow response 😖
5486,4937640,18983118,5,Kinda chalky but overall still good value for price paid! 
5490,4937640,106658792,3,"Very fast delivery service and response from seller. Items received in a week. The bags are true to pic, but the downside is that they came with defects. Hope the supplier can provide better quality goods next time. "
5491,4149345,15247462,5,Good value for money. Useful item. The base part was very scratched but it is sturdy and functions well. 
5493,4937640,18984937,5,V pigmented! 
5499,4937640,104771400,5,Item received well wrapped and quick too! I am absolutely loving this item right now!! Quality is really good too and there is no defects. Price is pretty affordable too! Highly recommended to deal with this seller if you're planning to get this mirror!
5500,4149345,46508803,1,"Very poor seller , out of 6fans . One is spoil. Request for replacement, seller say I place another order so that can send me my replacement fan. 
However, I order additional 4more fans & 3pack of batteries. I did not receive the fans & replacement fans. 😡"
5503,4937640,51425887,0,Hi... I have order this from you..but till now i have not rcvd the itema yet...
5504,4937640,26495034,2,Very small not convenient to use for make up
5505,4937640,19347989,2,"Brush is slightly rough on face, Poor product quality"
5507,4937640,18985848,5,Yet to try! 
5508,4937640,17704793,4, Excellent service by seller
5509,4149345,46508803,1,"Very poor seller , out of 6fans . One is spoil. Request for replacement, seller say I place another order so that can send me my replacement fan. 
However, I order additional 4more fans & 3pack of batteries. I did not receive the fans & replacement fans. 😡"
5510,4937640,36621555,3," Product quality is ok, slow delivery but overall okay.."
5511,4937640,18986068,5,Yet to try! 
5515,4149345,237463739,4,Not bad for the price I paid... 
5517,4149345,46508803,5, Excellent service by seller & good product
5518,4149345,46575064,5,Very fast delivery. With 5 working days. Item works flawlessly for this price. Thank you.
5519,4937640,24088131,3,Doesn't really detangle 
5520,4149345,15736397,5,"The image not very clear at night, but still can see. Overall still worth the buy! 😊"
5521,4149345,238817837,5,Well packed !
5522,4149345,14479774,4,Decent quality for the price paid.delivery took bout 1 wk.
5524,4937640,104304937,5,Haha didn't buy with huge expectations so colour payoff is fine imo 
5527,4149345,46508803,5,Thumbs up!
5528,4149345,14481902,5,Decent quality for the price paid.delivery took bout 1 wk.
5531,4149345,15247463,4,Good quality for the price paid.delivery took bout 1 wk.
5535,4149345,13433119,0,how to purchase?
5537,4937640,18982883,0,@alimna thanks for the heads up!
5539,4149345,16749761,5,"2nd time ordering, this time as a present. Love how everything is packaged neatly & transport friendly. Metal bits are sturdy and doesn't flake/get destroyed easily like some cheap repair tools. Great esp for small electronic device repairs"
5541,4149345,16742382,4,Decent quality for the price paid.thats a faint smell to it though...otherwise all is fine.delivery took bout 1 wk.
5542,4149345,47585169,5,Good quality for the price paid.i love this.delivery took bout 1 wk.
5544,4937640,18985972,5,Cheap n good 🌟🌟🌟🌟🌟
5545,4149345,15737350,5,"Great, fast delivery;)"
5547,4149345,29999453,0,Hi
5549,4149345,14479774,5,Omg it's damn good for something that cost $1. Will buy more in the future if I need it. I usually don't give feedback but this is bomb
5558,4149345,13432637,1,Have msg seller no reply. All boxes is damage. And 1 more order is missing. That is purple. Shopee pls help me. Thanks
5561,4937640,16808603,5,Rcv! 
5562,4149345,13432637,2,Same also box damage.
5563,4149345,13433292,5,Fantastic buy. Just water and this sponge to get my stove clean. Now hope it it will last long. Buying more!
5565,4149345,13432637,1,Never received item purple. Even after have msg the seller.
5567,4937640,18979710,1,Item looks very badly damaged when i open from the box . It also looks like it has been broken and had been fixed there ... 
5570,4149345,13431202,5,Fuss free and works well. 
5571,4149345,17709845,3,Not as strong as I thought 
5572,4149345,54767649,0,i like to order
5573,4149345,14482633,5,Thanks 
5575,4149345,16431739,5,Item revived. Thanks
5579,4149345,14486670,5,Item received in mint condition. Tq seller for the efficient and reliable service.👍👍
5584,4937640,24095270,0,"@sg_user_13167 sorry for the trouble, it may be caused by the shipment, if there is any problem, please contact us online~"
5588,4149345,13433566,1,"My item has been ordered for 1 month, money deducted, yet still not arrive."
5590,4149345,49790578,2, Poor product quality
5592,4149345,26966468,4,Overall product was in good condition except for some flaws (see pic) which appear on the underside so it doesn't affect the usage of product. Product also carried a smell but I think it should be normal for new mats. It is non-slip as described. 
5594,4149345,14480237,0,How to buy??
5595,4149345,237463508,5,Received item with foam wraps but still satisfied 👍🏻
5596,4149345,57202036,5,Excellent product! Love it
5601,4149345,57201880,0,"@ririnyaayirin thanks dear ,  hope you can buy more items in my shop :)"
5602,4149345,49790575,3,Good Overall Service
5605,4149345,19313495,5," Good product. Though I was not home at the time of delivery, the delivery man communicated adequately where he placed the product in obsure place of my front gate. Packaged well. All binoculars purchased are in good condition. "
5609,4149345,14479774,5,Smaller than expected 😂 but it's value for money!
5611,4149345,49804190,3, Delivery time as expected Product quality is ok Service by seller is ok
5612,4937640,21273230,5,Chin strap snore belt was not as good as expected. Other items were ok.
5616,4149345,49770499,3, Product quality is ok
5623,4937640,120005579,0,@thetthetmon glow in the black light
5624,4149345,57201880,2, Poor delivery speed. Tripod can't stand. Very loose and unstable.
5625,4149345,14479774,5,Prompt delivery of product. Item arrived in pristine condition
5626,4149345,13427298,5,"Prompt delivery, gd buy..  hvnt try tho.hv to buy a universal plug for it.."
5629,4149345,14479833,1,"Very poor product quality
Both items faulty: humidity reading level incorrect and inconsistent between the 2 I bought. (one reads 99% the other one 88%)

One doesn't read temperature when it should. 


"
5631,4149345,29995010,0,Hi can I get the item before CNY?
5633,4937640,21273292,3,Very small ... for size 32a also cant 😑
5638,4149345,125165757,5,item received in a well-packed package. took about two weeks but no big deal since not in urgent need. item not tried yet. 
5639,4149345,30004477,5,My second purchase! Well made & sturdy. Blade is sharp
5641,4149345,46508803,5,Thanks...
5642,4937640,24095270,1,everything juz dripping all over the place
5643,4149345,71921841,5,Quality is normal.You will get the item is equal value what you pay.
5645,4937640,237703145,5, Good value for money
